index,transfer_id,amount_clp,status,final_status,comment,created_at,error
1,tr_39SSnUeVLBRl7DSLqLIVtVl2hGN,7000000,pending,succeeded,"Pago 1/72 ref:2b1c4207",N/A,""
2,tr_39SSnZWopOUWSpbeJSGnFWsaSlA,7000000,pending,succeeded,"Pago 2/72 ref:faa42a23",N/A,""
3,tr_39SSnixbfD1gXJqdG03XKO5jYfw,7000000,pending,succeeded,"Pago 3/72 ref:c669fc9f",N/A,""
4,tr_39SSnr1J2EOS0m6USrfGUkcCzwr,7000000,pending,succeeded,"Pago 4/72 ref:fb9e8384",N/A,""
5,tr_39SSnyvsiuy6yReFwdNrRjyH1sG,7000000,pending,succeeded,"Pago 5/72 ref:b8843e7a",N/A,""
6,tr_39SSo5P9spv3cqNm8B7Bvk3j3sh,7000000,pending,succeeded,"Pago 6/72 ref:455ce615",N/A,""
7,tr_39SSoF01LGnvV82JgR56lgeRJwh,7000000,pending,succeeded,"Pago 7/72 ref:19f15989",N/A,""
8,tr_39SSoYgAOG9m3QQzhJxHXopR2xM,7000000,pending,succeeded,"Pago 8/72 ref:d48e159b",N/A,""
9,tr_39SSod5ve3Lc0stzaTjgKninG70,7000000,pending,succeeded,"Pago 9/72 ref:9f908f30",N/A,""
10,tr_39SSolESpPx8wdHkoiBZbsOpU3x,7000000,pending,succeeded,"Pago 10/72 ref:e8430de5",N/A,""
11,tr_39SSorrtOGkpJ83g5xdVaOHouQ7,7000000,pending,succeeded,"Pago 11/72 ref:8db4a890",N/A,""
12,tr_39SSoxiQe9jowJF2SWAxfgvDBB0,7000000,pending,succeeded,"Pago 12/72 ref:67b26664",N/A,""
13,tr_39SSpHT7V3c8nhnBmBgcyPB9QXS,7000000,pending,succeeded,"Pago 13/72 ref:43dd387d",N/A,""
14,tr_39SSpR1otbXo1fDjmuWjAYquwwO,7000000,pending,succeeded,"Pago 14/72 ref:6cae39bd",N/A,""
15,tr_39SSpLgxb2Az6IG53WkzYF5fRhX,7000000,pending,succeeded,"Pago 15/72 ref:1a08d416",N/A,""
16,tr_39SSpWWevBiA91FDaY4QHR9rq9B,7000000,pending,succeeded,"Pago 16/72 ref:7375605e",N/A,""
17,tr_39SSpfMZA45DBi1w3k09G1YefE5,7000000,pending,succeeded,"Pago 17/72 ref:50b6288d",N/A,""
18,tr_39SSpjv1pheeD0JUwCefd3UH9vK,7000000,pending,succeeded,"Pago 18/72 ref:e4a67602",N/A,""
19,tr_39SSpwx0NzMoJY7DD9nmH4WFO03,7000000,pending,succeeded,"Pago 19/72 ref:592ef7a7",N/A,""
20,tr_39SSq96UaVYbz9XNN1AW9VPcVKT,7000000,pending,succeeded,"Pago 20/72 ref:4d055622",N/A,""
21,tr_39SSq9jMrBOxLS0eKBrElpGZFhL,7000000,pending,succeeded,"Pago 21/72 ref:cc9a2282",N/A,""
22,tr_39SSqHfKFXxJjpg05m90N8K3epb,7000000,pending,succeeded,"Pago 22/72 ref:cc39bf60",N/A,""
23,tr_39SSqMkTuDHdwDjTrk8MYgxlXh3,7000000,pending,succeeded,"Pago 23/72 ref:046334c9",N/A,""
24,tr_39SSqTyEyD8VFw4ui33dBokd3hB,7000000,pending,succeeded,"Pago 24/72 ref:a9404848",N/A,""
25,tr_39SSqeQM4W51e4Rn0KzRbkIWuun,7000000,pending,succeeded,"Pago 25/72 ref:11938ecc",N/A,""
26,tr_39SSqiiMZXXMtyVHXE6xxH0NVZR,7000000,pending,succeeded,"Pago 26/72 ref:05a3e107",N/A,""
27,tr_39SSqwm6HM8zfuHutLP7NH6hzh1,7000000,pending,succeeded,"Pago 27/72 ref:332b0ffc",N/A,""
28,tr_39SSr2KXjZMgjX1ERytPCS2Ffv6,7000000,pending,succeeded,"Pago 28/72 ref:18699bbb",N/A,""
29,tr_39SSrC1IJYyLZ18mHjyegTFgGMa,7000000,pending,succeeded,"Pago 29/72 ref:b96131a6",N/A,""
30,tr_39SSrINXV9oVpLLbcNZQaLwWV4w,7000000,pending,succeeded,"Pago 30/72 ref:9f73cac7",N/A,""
31,tr_39SSrTu7Km36Nl4KzbZDlz3hFw9,7000000,pending,succeeded,"Pago 31/72 ref:a792862d",N/A,""
32,tr_39SSrqDoKdTHJ4Oic1nHgSJJM9S,7000000,pending,succeeded,"Pago 32/72 ref:9db9bcd8",N/A,""
